cand_id;job_id;distance_km;match_score;match_rank;cand_gender;cand_age_bucket;cand_domicile_province;cand_domicile_region;cand_education;job_contract_type;job_professional_category;job_sector;job_work_province
7,243,240;OFF_1042_1739;8.031.867.218;999.752.655;1;Female;45-54;BS;LOMBARDIA;N/A;Search and selection;Head of large-scale retail trade department;Large-scale distribution / Retail / Shop assistants / Shelving workers;MI 
1,581,209;OFF_1042_1739;8.031.867.218;9.992.726.135;2;Male;25-34;BS;LOMBARDIA;N/A;Search and selection;Head of large-scale retail trade department;Large-scale distribution / Retail / Shop assistants / Shelving workers;MI 
6,262,842;OFF_1042_1739;8.031.867.218;9.992.553.711;3;Male;45-54;BS;LOMBARDIA;N/A;Search and selection;Head of large-scale retail trade department;Large-scale distribution / Retail / Shop assistants / Shelving workers;MI 
6,125,370;OFF_1042_1739;6.358.769.226;9.992.333.221;4;Female;45-54;BS;LOMBARDIA;N/A;Search and selection;Head of large-scale retail trade department;Large-scale distribution / Retail / Shop assistants / Shelving workers;MI 
7,502,108;OFF_1042_1739;1.514.988.232;9.991.843.414;5;Male;25-34;MI;LOMBARDIA;N/A;Search and selection;Head of large-scale retail trade department;Large-scale distribution / Retail / Shop assistants / Shelving workers;MI 
6,453,966;OFF_1042_1739;7.665.083.313;9.990.287.781;6;Female;25-34;AL;PIEMONTE;N/A;Search and selection;Head of large-scale retail trade department;Large-scale distribution / Retail / Shop assistants / Shelving workers;MI 
6,108,480;OFF_1042_1739;3.033.630.562;9.989.750.671;7;Female;45-54;VA;LOMBARDIA;N/A;Search and selection;Head of large-scale retail trade department;Large-scale distribution / Retail / Shop assistants / Shelving workers;MI 
7,244,922;OFF_1042_1739;6.358.769.226;9.989.701.843;8;Male;35-44;BS;LOMBARDIA;N/A;Search and selection;Head of large-scale retail trade department;Large-scale distribution / Retail / Shop assistants / Shelving workers;MI 
6,263,970;OFF_1042_1739;197.698.288;9.987.755.585;9;Female;45-54;MI;LOMBARDIA;N/A;Search and selection;Head of large-scale retail trade department;Large-scale distribution / Retail / Shop assistants / Shelving workers;MI 
5,305,731;OFF_1042_1739;2.112.740.707;9.987.018.585;10;Female;45-54;MI;LOMBARDIA;N/A;Search and selection;Head of large-scale retail trade department;Large-scale distribution / Retail / Shop assistants / Shelving workers;MI 
5,026,884;OFF_111_1704;8.802.752.495;999.732.132;1;Male;45-54;MI;LOMBARDIA;N/A;Subordinate employment;Portal truck driver (m/f);Warehouse / Logistics / Transport;MI 
6,853,912;OFF_111_1704;2.402.428.818;9.996.656.036;2;Female;25-34;MI;LOMBARDIA;N/A;Subordinate employment;Portal truck driver (m/f);Warehouse / Logistics / Transport;MI 
5,668,962;OFF_111_1704;765.733.242;9.996.379.852;3;Female;45-54;MI;LOMBARDIA;N/A;Subordinate employment;Portal truck driver (m/f);Warehouse / Logistics / Transport;MI 
7,289,988;OFF_111_1704;1.425.273.037;9.995.600.891;4;Female;35-44;MI;LOMBARDIA;N/A;Subordinate employment;Portal truck driver (m/f);Warehouse / Logistics / Transport;MI 
4,860,373;OFF_111_1704;1.432.505.226;999.525.528;5;Female;55-74;MI;LOMBARDIA;N/A;Subordinate employment;Portal truck driver (m/f);Warehouse / Logistics / Transport;MI 
6,724,515;OFF_111_1704;0;9.995.238.495;6;Female;25-34;MI;LOMBARDIA;N/A;Subordinate employment;Portal truck driver (m/f);Warehouse / Logistics / Transport;MI 
4,427,049;OFF_111_1704;1.874.547.958;9.995.210.266;7;Male;55-74;MI;LOMBARDIA;N/A;Subordinate employment;Portal truck driver (m/f);Warehouse / Logistics / Transport;MI 
6,211,418;OFF_111_1704;1.425.273.037;999.504.776;8;Female;55-74;MI;LOMBARDIA;N/A;Subordinate employment;Portal truck driver (m/f);Warehouse / Logistics / Transport;MI 
2,280,890;OFF_111_1704;350.238.533;9.994.617.462;9;Male;25-34;NO;PIEMONTE;Middle School;Subordinate employment;Portal truck driver (m/f);Warehouse / Logistics / Transport;MI 
7,129,945;OFF_111_1704;1.840.697.289;9.994.345.093;10;Male;25-34;MI;LOMBARDIA;"Middle School;Degree / High School : Computer Science Technician";Subordinate employment;Portal truck driver (m/f);Warehouse / Logistics / Transport;MI 
7,206,051;OFF_1149_0073;1.297.217.369;9.984.623.718;1;Male;35-44;BS;LOMBARDIA;N/A;Search and selection;warehouse worker;Warehouse / Logistics / Transport;BS 
6,739,675;OFF_1149_0073;6.243.985.367;9.984.481.812;2;Female;55-74;VR;VENETO;N/A;Search and selection;warehouse worker;Warehouse / Logistics / Transport;BS 
3,394,666;OFF_1149_0073;3.263.516.235;9.983.543.396;3;Male;45-54;BS;LOMBARDIA;"Qualification / Certificate: Computer Systems Switchboard Operator;Degree / High School : Accountancy";Search and selection;warehouse worker;Warehouse / Logistics / Transport;BS 
4,101,055;OFF_1149_0073;2.071.891.975;9.979.206.085;4;Male;25-34;BS;LOMBARDIA;N/A;Search and selection;warehouse worker;Warehouse / Logistics / Transport;BS 
5,214,403;OFF_1149_0073;2.675.296.211;9.969.618.988;5;Male;15-24;BG;LOMBARDIA;N/A;Search and selection;warehouse worker;Warehouse / Logistics / Transport;BS 
4,246,936;OFF_1149_0073;2.696.855.736;9.969.088.745;6;Female;45-54;BS;LOMBARDIA;Middle School;Search and selection;warehouse worker;Warehouse / Logistics / Transport;BS 
1,553,056;OFF_1149_0073;4.511.234.283;9.963.998.413;7;Male;25-34;MN;LOMBARDIA;"Middle School;Degree / High School : Computer Science Technician";Search and selection;warehouse worker;Warehouse / Logistics / Transport;BS 
2,516,140;OFF_1149_0073;2.768.191.719;9.963.446.808;8;Male;55-74;BS;LOMBARDIA;N/A;Search and selection;warehouse worker;Warehouse / Logistics / Transport;BS 
6,952,299;OFF_1149_0073;4.329.417.038;9.963.046.265;9;Male;45-54;BS;LOMBARDIA;N/A;Search and selection;warehouse worker;Warehouse / Logistics / Transport;BS 
2,868,315;OFF_1149_0073;4.243.053.055;9.961.573.792;10;Male;25-34;BG;LOMBARDIA;Degree / High School : Technician in Business Administration, Finance, and Marketing;Search and selection;warehouse worker;Warehouse / Logistics / Transport;BS 
5,315,098;OFF_1149_0288;3.127.142.143;9.953.873.444;1;Male;25-34;UD;FRIULI VENEZIA GIULIA;N/A;Subordinate employment;General Construction Worker;General Workers;UD 
5,612,877;OFF_1149_0288;1.802.070.618;9.840.666.962;2;Male;15-24;UD;FRIULI VENEZIA GIULIA;N/A;Subordinate employment;General Construction Worker;General Workers;UD 
5,515,786;OFF_1149_0288;1.575.440.025;9.688.204.956;3;Female;35-44;UD;FRIULI VENEZIA GIULIA;N/A;Subordinate employment;General Construction Worker;General Workers;UD 
5,630,894;OFF_1149_0288;1.575.440.025;95.496.521;4;Female;55-74;UD;FRIULI VENEZIA GIULIA;N/A;Subordinate employment;General Construction Worker;General Workers;UD 
3,417,700;OFF_1149_0288;1.575.440.025;9.502.562.714;5;Male;45-54;UD;FRIULI VENEZIA GIULIA;Degree / High School : Surveying;Subordinate employment;General Construction Worker;General Workers;UD 
5,974,556;OFF_1149_0288;3.610.007.095;9.490.753.174;6;Male;25-34;UD;FRIULI VENEZIA GIULIA;N/A;Subordinate employment;General Construction Worker;General Workers;UD 
6,980,480;OFF_1149_0288;1.575.440.025;9.487.360.382;7;Male;25-34;UD;FRIULI VENEZIA GIULIA;N/A;Subordinate employment;General Construction Worker;General Workers;UD 
7,142,395;OFF_1149_0288;1.334.151.077;9.463.819.122;8;Male;55-74;UD;FRIULI VENEZIA GIULIA;N/A;Subordinate employment;General Construction Worker;General Workers;UD 
6,515,442;OFF_1149_0288;1.575.440.025;9.444.042.206;9;Male;35-44;UD;FRIULI VENEZIA GIULIA;N/A;Subordinate employment;General Construction Worker;General Workers;UD 
7,087,794;OFF_1149_0288;1.575.440.025;9.431.546.021;10;Female;25-34;UD;FRIULI VENEZIA GIULIA;N/A;Subordinate employment;General Construction Worker;General Workers;UD 
6,130,653;OFF_1151_0073;1.297.217.369;9.993.785.858;1;Male;35-44;BS;LOMBARDIA;N/A;Search and selection;CNC operator (m/f);Specialized workers;BS 
3,137,744;OFF_1151_0073;4.329.417.038;9.977.886.963;2;Male;25-34;BS;LOMBARDIA;N/A;Search and selection;CNC operator (m/f);Specialized workers;BS 
6,236,866;OFF_1151_0073;2.191.498.566;9.971.355.438;3;Male;25-34;BS;LOMBARDIA;N/A;Search and selection;CNC operator (m/f);Specialized workers;BS 
154,276;OFF_1151_0073;1.721.814.728;9.969.464.874;4;Male;35-44;BS;LOMBARDIA;Qualification / Certificate: Mechanical Operator;Search and selection;CNC operator (m/f);Specialized workers;BS 
3,591,680;OFF_1151_0073;0;99.692.276;5;Male;35-44;BS;LOMBARDIA;N/A;Search and selection;CNC operator (m/f);Specialized workers;BS 
5,732,612;OFF_1151_0073;7.669.199.467;9.966.123.962;6;Female;45-54;BS;LOMBARDIA;N/A;Search and selection;CNC operator (m/f);Specialized workers;BS 
3,991,861;OFF_1151_0073;1.297.217.369;9.957.679.749;7;Male;35-44;BS;LOMBARDIA;N/A;Search and selection;CNC operator (m/f);Specialized workers;BS 
4,804,548;OFF_1151_0073;2.556.613.541;9.957.584.381;8;Female;45-54;BS;LOMBARDIA;N/A;Search and selection;CNC operator (m/f);Specialized workers;BS 
1,102,398;OFF_1151_0073;6.592.728.615;9.954.954.529;9;Female;35-44;BS;LOMBARDIA;N/A;Search and selection;CNC operator (m/f);Specialized workers;BS 
4,971,791;OFF_1151_0073;4.243.053.055;995.493.927;10;Female;25-34;BG;LOMBARDIA;N/A;Search and selection;CNC operator (m/f);Specialized workers;BS 
5,592,749;OFF_1186_1770;218.644.104;9.994.557.953;1;Female;45-54;CO;LOMBARDIA;Bachelor's Degree : Nursing;Search and selection;Nurse;Assistant / Paramedic / Technician;VA 
6,092,895;OFF_1186_1770;3.382.087.946;9.992.673.492;2;Female;35-44;VA;LOMBARDIA;Qualification / Certificate: Health and Social Care Assistant (O.T.A.);Search and selection;Nurse;Assistant / Paramedic / Technician;VA 
7,401,696;OFF_1186_1770;4.988.292.694;9.992.038.727;3;Female;25-34;MI;LOMBARDIA;N/A;Search and selection;Nurse;Assistant / Paramedic / Technician;VA 
4,503,079;OFF_1186_1770;4.988.292.694;9.990.834.808;4;Male;25-34;MI;LOMBARDIA;Degree / High School : Scientific High School;Search and selection;Nurse;Assistant / Paramedic / Technician;VA 
7,648,841;OFF_1186_1770;4.988.292.694;9.990.791.321;5;Female;45-54;MI;LOMBARDIA;N/A;Search and selection;Nurse;Assistant / Paramedic / Technician;VA 
2,829,295;OFF_1186_1770;1.508.707.905;9.990.426.636;6;Female;25-34;VA;LOMBARDIA;"Degree / High School : Scientific High School;Bachelor's Degree : Modern Languages and Cultures (L-11)";Search and selection;Nurse;Assistant / Paramedic / Technician;VA 
4,243,784;OFF_1186_1770;2.553.844.643;9.990.013.886;7;Male;35-44;VA;LOMBARDIA;Degree / High School : Business Economics;Search and selection;Nurse;Assistant / Paramedic / Technician;VA 
6,764,804;OFF_1186_1770;3.382.087.946;9.989.970.398;8;Female;25-34;VA;LOMBARDIA;N/A;Search and selection;Nurse;Assistant / Paramedic / Technician;VA 
6,571,942;OFF_1186_1770;218.644.104;9.989.922.333;9;Female;35-44;CO;LOMBARDIA;N/A;Search and selection;Nurse;Assistant / Paramedic / Technician;VA 
5,889,770;OFF_1186_1770;6.611.925.125;9.989.507.294;10;Female;25-34;VA;LOMBARDIA;Degree / High School : Social Services Technician;Search and selection;Nurse;Assistant / Paramedic / Technician;VA 
7,072,469;OFF_1204_0354;7.554.938.507;9.994.140.625;1;Male;15-24;PR;EMILIA ROMAGNA;N/A;Subordinate employment;Metalworking worker;General Workers;BS 
6,021,773;OFF_1204_0354;2.383.408.737;9.993.661.499;2;Female;35-44;MN;LOMBARDIA;N/A;Subordinate employment;Metalworking worker;General Workers;BS 
6,550,205;OFF_1204_0354;2.186.552.048;9.993.164.825;3;Male;35-44;BS;LOMBARDIA;N/A;Subordinate employment;Metalworking worker;General Workers;BS 
6,873,899;OFF_1204_0354;7.554.938.507;9.992.085.266;4;Male;15-24;PR;EMILIA ROMAGNA;N/A;Subordinate employment;Metalworking worker;General Workers;BS 
4,276,568;OFF_1204_0354;3.719.301.987;999.179.306;5;Male;45-54;BS;LOMBARDIA;Middle School;Subordinate employment;Metalworking worker;General Workers;BS 
5,943,112;OFF_1204_0354;7.554.938.507;9.991.628.265;6;Male;45-54;PR;EMILIA ROMAGNA;Degree / High School : Maintenance and Technical Support Technician;Subordinate employment;Metalworking worker;General Workers;BS 
4,170,929;OFF_1204_0354;4.952.816.391;9.990.895.081;7;Male;45-54;CR;LOMBARDIA;N/A;Subordinate employment;Metalworking worker;General Workers;BS 
5,769,062;OFF_1204_0354;7.554.938.507;999.026.947;8;Male;25-34;PR;EMILIA ROMAGNA;Degree / High School : Business Economics;Subordinate employment;Metalworking worker;General Workers;BS 
1,784,167;OFF_1204_0354;8.942.873.955;9.990.148.926;9;Male;35-44;BS;LOMBARDIA;Middle School;Subordinate employment;Metalworking worker;General Workers;BS 
6,135,614;OFF_1204_0354;2.186.552.048;9.990.058.899;10;Male;25-34;BS;LOMBARDIA;N/A;Subordinate employment;Metalworking worker;General Workers;BS 
5,601,703;OFF_1208_1770;6.358.769.226;9.998.503.113;1;Female;25-34;BS;LOMBARDIA;Bachelor's Degree : Physiotherapy;Search and selection;O.S.S. (operator social health);Assistant / Paramedic / Technician;MI 
4,762,257;OFF_1208_1770;8.031.867.218;9.998.497.772;2;Male;55-74;BS;LOMBARDIA;N/A;Search and selection;O.S.S. (operator social health);Assistant / Paramedic / Technician;MI 
738,748;OFF_1208_1770;6.051.113.129;999.813.385;3;Female;25-34;VA;LOMBARDIA;Middle School;Search and selection;O.S.S. (operator social health);Assistant / Paramedic / Technician;MI 
2,300,569;OFF_1208_1770;6.358.769.226;9.998.085.022;4;Female;25-34;BS;LOMBARDIA;"Middle School;Degree / High School : High School specializing in Social Sciences";Search and selection;O.S.S. (operator social health);Assistant / Paramedic / Technician;MI 
7,052,730;OFF_1208_1770;8.031.867.218;9.997.634.125;5;Female;35-44;BS;LOMBARDIA;N/A;Search and selection;O.S.S. (operator social health);Assistant / Paramedic / Technician;MI 
4,874,041;OFF_1208_1770;0;999.730.072;6;Female;25-34;MI;LOMBARDIA;Master's Degree : Psychology (LM-51);Search and selection;O.S.S. (operator social health);Assistant / Paramedic / Technician;MI 
5,488,665;OFF_1208_1770;8.031.867.218;9.997.245.789;7;Male;45-54;BS;LOMBARDIA;N/A;Search and selection;O.S.S. (operator social health);Assistant / Paramedic / Technician;MI 
6,384,385;OFF_1208_1770;3.551.670.074;9.997.219.086;8;Female;25-34;NO;PIEMONTE;N/A;Search and selection;O.S.S. (operator social health);Assistant / Paramedic / Technician;MI 
4,044,011;OFF_1208_1770;3.246.485.519;9.997.200.012;9;Female;25-34;BG;LOMBARDIA;Degree / High School : Social Services Technician;Search and selection;O.S.S. (operator social health);Assistant / Paramedic / Technician;MI 
7,156,518;OFF_1208_1770;9.244.432.831;9.997.066.498;10;Female;25-34;PR;EMILIA ROMAGNA;N/A;Search and selection;O.S.S. (operator social health);Assistant / Paramedic / Technician;MI 
7,399,617;OFF_1209_1770;7.493.821.716;9.996.897.125;1;Female;45-54;CR;LOMBARDIA;N/A;Search and selection;O.S.S. (operator social health);Assistant / Paramedic / Technician;MI 
4,371,418;OFF_1209_1770;7.493.821.716;9.996.575.928;2;Female;25-34;CR;LOMBARDIA;N/A;Search and selection;O.S.S. (operator social health);Assistant / Paramedic / Technician;MI 
6,306,230;OFF_1209_1770;3.879.950.333;9.995.584.106;3;Male;35-44;CO;LOMBARDIA;N/A;Search and selection;O.S.S. (operator social health);Assistant / Paramedic / Technician;MI 
4,192,944;OFF_1209_1770;4.655.295.181;9.995.339.203;4;Female;45-54;PV;LOMBARDIA;N/A;Search and selection;O.S.S. (operator social health);Assistant / Paramedic / Technician;MI 
6,624,834;OFF_1209_1770;4.988.292.694;9.995.006.561;5;Female;55-74;VA;LOMBARDIA;N/A;Search and selection;O.S.S. (operator social health);Assistant / Paramedic / Technician;MI 
6,030,501;OFF_1209_1770;8.186.549.187;9.994.659.424;6;Female;55-74;MI;LOMBARDIA;N/A;Search and selection;O.S.S. (operator social health);Assistant / Paramedic / Technician;MI 
6,833,535;OFF_1209_1770;0;9.994.591.522;7;Female;55-74;MI;LOMBARDIA;N/A;Search and selection;O.S.S. (operator social health);Assistant / Paramedic / Technician;MI 
7,300,796;OFF_1209_1770;722.338.028;9.994.317.627;8;Female;15-24;BG;LOMBARDIA;N/A;Search and selection;O.S.S. (operator social health);Assistant / Paramedic / Technician;MI 
7,249,086;OFF_1209_1770;2.971.899.605;9.994.088.745;9;Female;25-34;CO;LOMBARDIA;N/A;Search and selection;O.S.S. (operator social health);Assistant / Paramedic / Technician;MI 
7,619,217;OFF_1209_1770;7.165.138.245;9.994.030.762;10;Male;15-24;MI;LOMBARDIA;Qualification / Certificate: Health and Social Care Assistant (O.T.A.);Search and selection;O.S.S. (operator social health);Assistant / Paramedic / Technician;MI 
6,138,425;OFF_1214_0354;2.069.377.327;9.993.528.748;1;Male;45-54;BS;LOMBARDIA;Qualification / Certificate: Machine Tool Operator;Search and selection;product quality control officer;General Workers;BS 
7,063,585;OFF_1214_0354;1.974.227.524;9.993.282.318;2;Male;25-34;BS;LOMBARDIA;N/A;Search and selection;product quality control officer;General Workers;BS 
4,937,963;OFF_1214_0354;2.541.400.337;999.144.516;3;Male;25-34;BS;LOMBARDIA;Degree / High School : Technician in Business Administration, Finance, and Marketing;Search and selection;product quality control officer;General Workers;BS 
6,341,795;OFF_1214_0354;1.264.582.634;9.990.488.434;4;Male;25-34;BS;LOMBARDIA;N/A;Search and selection;product quality control officer;General Workers;BS 
7,244,401;OFF_1214_0354;1.974.227.524;9.990.174.866;5;Male;25-34;BS;LOMBARDIA;N/A;Search and selection;product quality control officer;General Workers;BS 
7,367,635;OFF_1214_0354;1.974.227.524;9.989.611.816;6;Male;25-34;BS;LOMBARDIA;Higher Technical Institute (ITS) in Mechanical/Mechatronics Sector;Search and selection;product quality control officer;General Workers;BS 
7,772,300;OFF_1214_0354;2.667.754.364;9.989.083.099;7;Male;45-54;BS;LOMBARDIA;N/A;Search and selection;product quality control officer;General Workers;BS 
7,412,889;OFF_1214_0354;3.211.526.489;9.988.793.182;8;Male;15-24;BS;LOMBARDIA;N/A;Search and selection;product quality control officer;General Workers;BS 
5,341,791;OFF_1214_0354;6.084.481.239;9.988.531.494;9;Male;45-54;BS;LOMBARDIA;N/A;Search and selection;product quality control officer;General Workers;BS 
6,547,498;OFF_1214_0354;3.518.916.321;9.987.860.107;10;Female;55-74;BS;LOMBARDIA;N/A;Search and selection;product quality control officer;General Workers;BS 
6,103,730;OFF_1216_0354;4.004.499.817;9.981.574.249;1;Male;25-34;BS;LOMBARDIA;N/A;Search and selection;Mechanic/Toolmaker for welding devices (m/f);Specialized workers;BS 
61,636;OFF_1216_0354;1.990.473.747;9.980.794.525;2;Male;25-34;BS;LOMBARDIA;N/A;Search and selection;Mechanic/Toolmaker for welding devices (m/f);Specialized workers;BS 
53,844;OFF_1216_0354;1.974.227.524;9.975.437.927;3;Male;25-34;BS;LOMBARDIA;Degree / High School : Electrotechnical and Automation Technician;Search and selection;Mechanic/Toolmaker for welding devices (m/f);Specialized workers;BS 
6,124,267;OFF_1216_0354;2.667.754.364;9.972.047.424;4;Male;15-24;BS;LOMBARDIA;N/A;Search and selection;Mechanic/Toolmaker for welding devices (m/f);Specialized workers;BS 
932,254;OFF_1216_0354;2.541.400.337;9.969.689.941;5;Male;45-54;BS;LOMBARDIA;Middle School;Search and selection;Mechanic/Toolmaker for welding devices (m/f);Specialized workers;BS 
7,220,966;OFF_1216_0354;2.541.400.337;9.963.276.672;6;Male;15-24;BS;LOMBARDIA;N/A;Search and selection;Mechanic/Toolmaker for welding devices (m/f);Specialized workers;BS 
2,486,834;OFF_1216_0354;1.974.227.524;9.947.829.437;7;Male;35-44;BS;LOMBARDIA;Master's Degree in Physics (LM-17);Search and selection;Mechanic/Toolmaker for welding devices (m/f);Specialized workers;BS 
3,667,209;OFF_1216_0354;2.069.377.327;9.943.315.125;8;Male;55-74;BS;LOMBARDIA;Higher Technical Institute (ITS);Search and selection;Mechanic/Toolmaker for welding devices (m/f);Specialized workers;BS 
3,401,201;OFF_1216_0354;9.546.126.366;9.941.364.288;9;Male;25-34;BS;LOMBARDIA;Qualification / Certificate: Machine Tool Operator;Search and selection;Mechanic/Toolmaker for welding devices (m/f);Specialized workers;BS 
6,064,613;OFF_1216_0354;2.069.377.327;9.939.572.144;10;Male;15-24;BS;LOMBARDIA;N/A;Search and selection;Mechanic/Toolmaker for welding devices (m/f);Specialized workers;BS 
3,201,613;OFF_1216_1626;9.352.392.197;9.924.340.057;1;Male;35-44;MI;LOMBARDIA;Middle School;Subordinate employment;Construction site technician;Installation / Plant engineering / Shipbuilding;MI 
2,817,734;OFF_1216_1626;2.255.942.583;9.900.508.118;2;Male;25-34;MI;LOMBARDIA;Degree / High School : Scientific High School;Subordinate employment;Construction site technician;Installation / Plant engineering / Shipbuilding;MI 
7,132,384;OFF_1216_1626;9.352.392.197;9.880.282.593;3;Male;25-34;MI;LOMBARDIA;Higher Technical Institute (ITS) in the Agri-food Sector;Subordinate employment;Construction site technician;Installation / Plant engineering / Shipbuilding;MI 
452,161;OFF_1216_1626;9.352.392.197;9.871.455.383;4;Male;25-34;MI;LOMBARDIA;N/A;Subordinate employment;Construction site technician;Installation / Plant engineering / Shipbuilding;MI 
6,671,641;OFF_1216_1626;4.657.975.674;9.834.024.048;5;Male;25-34;MI;LOMBARDIA;N/A;Subordinate employment;Construction site technician;Installation / Plant engineering / Shipbuilding;MI 
